"","method","mu","nc","value"
"343","single_louvain",20,30,0.917560338324887
"344","single_louvain",20,30,0.916643272378329
"345","single_louvain",20,29,0.912150432490613
"346","single_louvain",20,27,0.907890807928752
"347","single_louvain",20,29,0.91162398074993
"348","single_louvain",20,29,0.920033657219665
"349","single_louvain",20,29,0.913609478978237
"350","single_louvain",20,28,0.90930284023813
"351","single_louvain",20,30,0.920358945167245
"352","single_louvain",20,29,0.928835529124326
"353","single_louvain",20,29,0.903506995156104
"354","single_louvain",20,31,0.924216725155128
"355","single_louvain",20,29,0.906137603196174
"356","single_louvain",20,29,0.913805111104146
"357","single_louvain",20,28,0.915058520600687
"358","single_louvain",20,29,0.920561715571227
"359","single_louvain",20,28,0.902816417049427
"360","single_louvain",20,30,0.915063714292828
"361","single_louvain",20,27,0.904204403184167
"362","single_louvain",20,30,0.933365722409342
"363","single_louvain",20,29,0.916270676082423
"364","single_louvain",20,29,0.916479406597358
"365","single_louvain",20,28,0.918805684223384
"366","single_louvain",20,28,0.914776406871441
"367","single_louvain",20,29,0.904098387890495
"368","single_louvain",20,31,0.912979335391372
"369","single_louvain",20,29,0.929250680576963
"370","single_louvain",20,30,0.920422924887361
"371","single_louvain",20,27,0.907609267853938
"372","single_louvain",20,29,0.911840963592871
"373","single_louvain",20,25,0.87420083145729
"374","single_louvain",20,30,0.921211488296971
"375","single_louvain",20,29,0.910638225157851
"376","single_louvain",20,28,0.909226939925934
"377","single_louvain",20,29,0.91594200132816
"378","single_louvain",20,29,0.924093454645571
"379","single_louvain",20,29,0.922024851124706
"380","single_louvain",20,28,0.91066158370434
"381","single_louvain",20,28,0.908946382282673
"382","single_louvain",20,28,0.901550578107021
"383","single_louvain",20,29,0.921352443310056
"384","single_louvain",20,28,0.914965913313814
"385","single_louvain",20,29,0.926786761366351
"386","single_louvain",20,26,0.900460498657827
"387","single_louvain",20,28,0.923551522508469
"388","single_louvain",20,27,0.910983738475095
"389","single_louvain",20,28,0.922054001231301
"390","single_louvain",20,30,0.918718354985186
"391","single_louvain",20,30,0.914281788818846
"392","single_louvain",20,29,0.923000015744083
"393","single_louvain",20,26,0.899935111025929
"394","single_louvain",20,30,0.919853034614033
"395","single_louvain",20,31,0.926037735389295
"396","single_louvain",20,28,0.910131887776503
"397","single_louvain",20,29,0.908809052520418
"398","single_louvain",20,27,0.897854505066813
"399","single_louvain",20,28,0.926936280246437
"400","single_louvain",20,29,0.919161926550321
"401","single_louvain",20,27,0.903504195010911
"402","single_louvain",20,28,0.904605640189427
"403","single_louvain",20,27,0.906808298337006
"404","cons_louvain",20,32,0.949502078291933
"405","single_louvain",25,27,0.874601986901528
"406","single_louvain",25,24,0.840252356674936
"407","single_louvain",25,26,0.861745448290878
"408","single_louvain",25,25,0.83455512915342
"409","single_louvain",25,26,0.852677463364149
"410","single_louvain",25,28,0.884433506111123
"411","single_louvain",25,26,0.876672325893368
"412","single_louvain",25,26,0.877042536057656
"413","single_louvain",25,26,0.859545358063506
"414","single_louvain",25,23,0.827019866587185
"415","single_louvain",25,27,0.870300258846939
"416","single_louvain",25,26,0.851179603593666
"417","single_louvain",25,23,0.835484120145961
"418","single_louvain",25,24,0.846087714301066
"419","single_louvain",25,22,0.826350204337455
"420","single_louvain",25,23,0.843956532835647
"421","single_louvain",25,25,0.859837633992121
"422","single_louvain",25,25,0.865106386600063
"423","single_louvain",25,26,0.87377567717746
"424","single_louvain",25,24,0.850060953412476
"425","single_louvain",25,25,0.850573139628821
"426","single_louvain",25,28,0.863061581868362
"427","single_louvain",25,24,0.853142291164151
"428","single_louvain",25,23,0.830488959643429
"429","single_louvain",25,27,0.859643614587043
"430","single_louvain",25,27,0.860051346405945
"431","single_louvain",25,25,0.860725853291222
"432","single_louvain",25,25,0.847883403557773
"433","single_louvain",25,25,0.858174870945382
"434","single_louvain",25,25,0.868005785033063
"435","single_louvain",25,24,0.859983374361461
"436","single_louvain",25,26,0.864365571687786
"437","single_louvain",25,28,0.881852262201111
"438","single_louvain",25,25,0.858450603671417
"439","single_louvain",25,27,0.859599714395821
"440","single_louvain",25,26,0.863012954189826
"441","single_louvain",25,25,0.861345836737323
"442","single_louvain",25,24,0.851344409365538
"443","single_louvain",25,24,0.838390917023312
"444","single_louvain",25,24,0.85211007076292
"445","single_louvain",25,23,0.839382711186731
"446","single_louvain",25,26,0.871880170909177
"447","single_louvain",25,26,0.874487921391421
"448","single_louvain",25,23,0.830225739148331
"449","single_louvain",25,26,0.865195870084971
"450","single_louvain",25,26,0.867917021576544
"451","single_louvain",25,24,0.842889657824512
"452","single_louvain",25,26,0.873525062091725
"453","single_louvain",25,26,0.867126241285012
"454","single_louvain",25,25,0.853882323465153
"455","single_louvain",25,27,0.874732914920463
"456","single_louvain",25,24,0.839358587837604
"457","single_louvain",25,27,0.866177939902342
"458","single_louvain",25,25,0.863564026149663
"459","single_louvain",25,26,0.867146551767203
"460","single_louvain",25,24,0.841665212098812
"461","single_louvain",25,28,0.869031314649688
"462","single_louvain",25,25,0.851841447351818
"463","single_louvain",25,28,0.880073930800872
"464","single_louvain",25,23,0.836905499254739
"465","single_louvain",25,22,0.845799777656296
"466","single_louvain",25,25,0.85804273479231
"467","single_louvain",25,26,0.865943112958461
"468","single_louvain",25,24,0.843347100643776
"469","single_louvain",25,28,0.872164955643295
"470","single_louvain",25,26,0.874084918190174
"471","single_louvain",25,27,0.879701444162818
"472","single_louvain",25,25,0.864980526731066
"473","single_louvain",25,27,0.886496845589548
"474","single_louvain",25,25,0.859231675684246
"475","single_louvain",25,24,0.854225020192714
"476","single_louvain",25,25,0.854198434367867
"477","single_louvain",25,25,0.848393578082367
"478","single_louvain",25,25,0.863570779688687
"479","single_louvain",25,25,0.868645548620225
"480","single_louvain",25,23,0.840478465648523
"481","single_louvain",25,27,0.867910522221517
"482","single_louvain",25,23,0.832020295703465
"483","single_louvain",25,26,0.867414904123557
"484","single_louvain",25,27,0.85902883380093
"485","single_louvain",25,26,0.861650099845076
"486","single_louvain",25,26,0.860352789370427
"487","single_louvain",25,25,0.860582540786591
"488","single_louvain",25,22,0.838368895410214
"489","single_louvain",25,28,0.882405121914391
"490","single_louvain",25,26,0.853833164350827
"491","single_louvain",25,28,0.872654691612525
"492","single_louvain",25,27,0.873753736411439
"493","single_louvain",25,25,0.853760691931663
"494","single_louvain",25,25,0.849801109918392
"495","single_louvain",25,24,0.835773216953974
"496","single_louvain",25,24,0.849043539572052
"497","single_louvain",25,25,0.850111580143709
"498","single_louvain",25,26,0.856615121356851
"499","single_louvain",25,25,0.86427124639745
"500","single_louvain",25,25,0.858950737373741
"501","single_louvain",25,25,0.854948038400548
"502","single_louvain",25,26,0.855252248420475
"503","single_louvain",25,24,0.843852324694809
"504","single_louvain",25,27,0.868361455442749
"505","cons_louvain",25,35,0.908030899390705
"506","single_louvain",30,23,0.751385068389805
"507","single_louvain",30,24,0.761932234288661
"508","single_louvain",30,26,0.764771929123558
"509","single_louvain",30,21,0.742376114833213
"510","single_louvain",30,25,0.754529026857887
"511","single_louvain",30,21,0.738143272431277
"512","single_louvain",30,27,0.77902844659283
"513","single_louvain",30,23,0.757437470335947
"514","single_louvain",30,25,0.776375855177698
"515","single_louvain",30,23,0.764026607247906
"516","single_louvain",30,25,0.766150825439505
"517","single_louvain",30,26,0.77526729588881
"518","single_louvain",30,25,0.751719822300331
"519","single_louvain",30,23,0.75068090994138
"520","single_louvain",30,23,0.740032437334641
"521","single_louvain",30,24,0.76290478558624
"522","single_louvain",30,23,0.751512920781113
"523","single_louvain",30,25,0.752392592824576
